Area,Circularity,Equal_Diameter,Shortest_Axis,Longest_Axis,Perimeters,Aspect_Ratio,name
37167.0,0.7643497464348126,217.53733968946986,200.3292236328125,243.67941284179688,781.6955199241638,0.8221015525955471,IMG_6046
38523.0,0.7697921533392053,221.47010403626192,203.5148468017578,246.8096923828125,793.0092303752899,0.8245820690303259,IMG_6046
21320.5,0.756208052698297,164.76074688324897,153.38937377929688,179.25148010253906,595.2274836301804,0.855721658150616,IMG_6046
22342.5,0.7631695416300546,168.6634356588451,156.854248046875,182.911865234375,606.5411924123764,0.8575400390012373,IMG_6046
28895.0,0.7215001449094834,191.80786387716884,159.08935546875,240.39869689941406,709.4112479686737,0.6617729526849934,IMG_6046
30123.0,0.7287338876431659,195.8412489902403,162.78443908691406,243.21084594726562,720.7249556779861,0.6693140614387317,IMG_6046
36699.5,0.7020740561552659,216.16487844237813,213.46401977539062,241.3389129638672,810.4823158979416,0.8844989693284566,IMG_6046
38125.5,0.7094100530342092,220.32452033943122,216.7369384765625,243.8846893310547,821.7960258722305,0.8886861207689787,IMG_6046
42475.5,0.7215565407379991,232.55426524232664,187.36785888671875,296.92462158203125,860.0802954435349,0.6310283663524169,IMG_6046
43977.5,0.7277986845932777,236.63028563265232,191.10867309570312,299.99212646484375,871.3940044641495,0.6370456296562145,IMG_6046
21907.0,0.7094469125490177,167.0115526139231,140.8976287841797,209.3883514404297,622.9259663820267,0.672900989070849,IMG_6046
22967.0,0.7174759079296711,171.00436434176902,144.0287628173828,212.91127014160156,634.2396750450134,0.6764731745839154,IMG_6046
47587.5,0.6833391125561544,246.1509431935709,194.85076904296875,316.3853759765625,935.4772650003433,0.6158652827790723,IMG_6046
49205.5,0.6897874603383594,250.30059612087632,198.42059326171875,319.7314147949219,946.7909741401672,0.6205852289772251,IMG_6046
35286.0,0.7001052371933029,211.96115345865843,165.56044006347656,277.3366394042969,795.8376545906067,0.5969656242287021,IMG_6046
36662.0,0.7071573312085437,216.05441025140064,169.34698486328125,280.3605041503906,807.1513630151749,0.6040329588380264,IMG_6046
50981.0,0.7752795509886996,254.77642204517932,227.56866455078125,292.03863525390625,909.0336134433746,0.7792416381925868,IMG_6046
52537.0,0.7794201490915726,258.63523727781416,230.955810546875,295.8974609375,920.3473211526871,0.7805265033877999,IMG_6046
24997.5,0.7791181356722061,178.40349077166968,168.55999755859375,197.27452087402344,634.9675974845886,0.8544438319342499,IMG_6046
26067.5,0.7842708229386126,182.18170004801212,171.99826049804688,200.2777099609375,646.2813060283661,0.8587988175598458,IMG_6046
32899.0,0.710122024209992,204.66633280107922,185.23187255859375,237.0955047607422,763.0092263221741,0.781254257627174,IMG_6046
34211.0,0.7170201925111396,208.70744611760895,189.0123748779297,240.45310974121094,774.3229355812073,0.7860675001515072,IMG_6046
17049.5,0.7502226066591859,147.336681169226,138.5667266845703,162.69215393066406,534.3990559577942,0.8517111817428178,IMG_6046
17951.5,0.757499556810907,151.18386053846248,141.92567443847656,166.0975799560547,545.7127643823624,0.8544716574198528,IMG_6046
28507.0,0.6850195443109477,190.51572035337475,163.70870971679688,242.83642578125,723.1513621807098,0.6741521960311987,IMG_6046
29731.0,0.6925913879543294,194.56280452471157,167.0912628173828,245.94798278808594,734.4650712013245,0.6793764312405531,IMG_6046
31861.5,0.7690594360769369,201.4133107681302,178.4388427734375,232.16668701171875,721.5361394882202,0.7685807342568087,IMG_6046
33071.5,0.773808959146405,205.20219687836905,182.03866577148438,235.61880493164062,732.8498475551605,0.7725982050723783,IMG_6046
21078.5,0.716885375559499,163.82301347399311,138.31143188476562,199.1361846923828,607.8549009561539,0.6945570042854005,IMG_6046
23490.0,0.6950297774434567,172.9404432335854,148.7886962890625,211.82403564453125,651.6955186128616,0.7024164931818673,IMG_6046
24586.0,0.7028434407974798,176.92898984298392,151.91893005371094,215.25558471679688,663.0092271566391,0.7057606902677325,IMG_6046
27511.0,0.669893221715712,187.15793628700084,168.86355590820312,227.89698791503906,718.3818126916885,0.7409644043700839,IMG_6046
28747.0,0.6784518548820279,191.31601394682497,172.40518188476562,229.61083984375,729.6955192089081,0.7508581999094085,IMG_6046
25449.0,0.7229637122671964,180.0074253300823,178.89466857910156,191.2672119140625,665.0924888849258,0.9353127846056543,IMG_6046
48599.0,0.40330143172126465,248.7532283902747,183.7047119140625,421.6424865722656,1230.5626143217087,0.4356883325669725,IMG_6046
38577.0,0.756040627762188,221.6252736428054,198.85671997070312,254.7319793701172,800.749342083931,0.780650786220174,IMG_6046
39933.0,0.7609608299530607,225.4867506970404,202.39495849609375,258.34002685546875,812.063050031662,0.7834440561134024,IMG_6046
32903.5,0.7021261664868589,204.68032968556952,179.5264129638672,237.34255981445312,767.3940036296844,0.7564021096941704,IMG_6046
34213.5,0.7090198866933584,208.71507172170507,182.9688720703125,240.53932189941406,778.7077121734619,0.7606609623137804,IMG_6046
31623.0,0.7393084003271533,200.6580527244298,174.51092529296875,232.5572967529297,733.151361823082,0.7503996981800586,IMG_6046
32867.0,0.7452144665880995,204.56677178078212,178.07473754882812,235.61245727539062,744.4650703668594,0.7557950865929353,IMG_6046
31665.0,0.6834425549495445,200.79126022822538,169.94778442382812,258.7803039550781,763.0336128473282,0.6567261179712096,IMG_6046
31079.5,0.73594584695444,198.92623866799596,178.29788208007812,229.85308837890625,728.4823169708252,0.7757036607059165,IMG_6046
32341.5,0.7425847643454367,202.92480562033876,181.82180786132812,232.87525939941406,739.7960259914398,0.7807691050146206,IMG_6046
